Cr.,PSl.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
sje̠vēr,*sē̠˙weru,,,,,,*sē̠˙βeru,,,,,,,,,,,,,,,,,,*sě̠˙βeru,*sě̠˙βerъ,,,,,,,,,,,,,,*sě̠˙βerь,,,,*sě̠βerь,,,,,,*sě̠βer,,,,,,,*sě̠βēr,,,,*sıe̠βēr,,,,,,*sje̠βēr,,,,sje̠vēr,
sna̠,*su̠nā,,,,,,,,,,,,*sunā̠,,,,,,,,,,,,,*sъnā̠,,,,,,*sъna̠,,,,,,,,*sьna̠,,,,,,,,,,sna̠,,,,,,,,,,,,,,,,,,,,,,
dial. snā̠ (in der Bačka),*snuxā̠˙,,,,,,,,,,,,,,,,,,,,,,,,,*snъxā̠˙,,,,,,*snъxa̠,,,,,,,,*snьxa̠,,,,,,,,,,,,,,,,"*snaxa̠ > (mit rezenter Kontraktion, s. § 32) *snā̠· (so in der Posavina)",,,,,,,,,,,,,dial. snā̠ (in der Bačka),,,
sna̠.xa,*snuxā̠˙,,,,,,,,,,,,,,,,,,,,,,,,,*snъxā̠˙,,,,,,*snъxa̠,,,,,,,,*snьxa̠,,,,,,,,,,,,,,,,*snaxa̠,,,,,,,,,,,,,,sna̠.xa,,
sō̠k,*saku,,,,,,,,,,,,,,,,,,,,,,,*soku,,*sokъ,,,,*sōkъ,*sō̠kъ,,,,,,,,,*sō̠kь,,,,,,,,,,sō̠k,,,,,,,,,,,,,,,,,,,,,,
sr̠p,*sirpu,,,,,,,,,,,,,,,,,,,,,,,,,*sьrpъ,,*srpъ,,,*sr̠pъ,,,,,,,,,*sr̠pь,,,,,,,,,,sr̠p,,,,,,,,,,,,,,,,,,,,,,
stā̠rca (N sg. sta̠rac),*stā̠˙rikā,*stā̠˙rit´ā,*stā̠˙rit´ē,,*stā̠˙rit´ā,,,,,,,,,,,,*stā̠˙ricā,,,,,,,,,*stā̠˙rьcā,,,,,,*stā̠˙rьca,,,,,,,,,,,,*sta̠rьca,,,,,,*sta̠rca,,,,,,,,,,,,,,,,,,stā̠rca (N sg. sta̠rac),,,,
sta̠.za,*sti̠gā˙,*sti̠d´ā˙,*sti̠d´ē˙,,*sti̠d´ā˙,,,,,,,,*stid´ā̠˙,,,,*stidzā̠˙,,,,,,,,,*stьdzā̠˙,,,,,,*stьdza̠,,,,*stьza̠,,,,,,,,,,,,,,,,,,,,*staza̠,,,,,,,,,,,,,,sta̠.za,,
stıē̠ńe,*sta̠jnija,,*sta̠jnije,*stē̠nije,,,,,,,,,*stēni̠je,,,,,,,,,,,,*stěni̠je,*stěnь̠je,,,,,,,,,,,,*stě̠·nьje,,,,,,,,,,,,*stě̠·nje,,,,,,,,,,,*stıē̠·nje,,,,,*stıē̠·ńe (vgl. čak. stī̠·ńe),,,stıē̠ńe,,,
stō̠ (daneben mit l aus den anderen Kasus: stō̠l ),*sta̠lu,,,,,,,,,,,,*stalu̠,,,,,,,,,,,*stolu̠,,*stolъ̠,,,,,,,,,,,,*sto̠lъ,,*sto̠lь,,,,,,,,,,*sto̠l,,,,,,,,,,,,,,,stō̠ (daneben mit l aus den anderen Kasus: stō̠l ),,,,,,,
stra̠šiti,*strā̠˙šī˙tēj,,,*strā̠˙šī˙tī,,,,,,,,,,,,,,,,,,,,,,,,,,,,*strā̠˙šī˙ti,,,,,,,,,,,,stra̠šiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stū̠pāte,*sta̠mpā˙jete,,,,,,,,,,,,*stampā̠˙jete,,,,,,,,,,,*stompā̠˙jete,,,,,*stō˛pā̠˙jete,,,,*stō˛pā̠te,,,,*st̠ō˛·pāte,,,,,,,,,,,,*stū̠·pāte,,,,,,,,,,,,,,,,,,,,stū̠pāte,,,
sū̠nce,*su̠l˙nika,*su̠l˙nit´a,*su̠l˙nit´e,,,,,,,,,,,,,,*su̠l˙nice,,,,,,,,,*sъ̠l˙nьce,,*s̠l˙nьce,,,,,,,,,,,,,,,,*sl̠nьce,,,,,,*sl̠nce,,,,,,,,,,,,,*su̠nce,,,,,sū̠nce,,,,
"su̠.za, A sg. su̠zu",*slizā̠˙,,,,,,,,,,,,,,,,,,,,,,,,,*slьzā̠˙,,*slzā̠˙,,,,*sl-za̠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*suza̠,,,,,,,"su̠.za, A sg. su̠zu",,
sva̠.nuti,*swi̠nan˙tēj,,,*swi̠nan˙tī,,,*sβi̠nan˙tī,,,,,,*sβina̠n˙tī,,,,,,,,,,,*sβino̠n˙tī,,*sβьno̠n˙tī,,,*sβьn̠ō˛˙tī,,,*sβьn̠ō˛˙ti,,,,,,,,,,,,*sβьn̠o˛ti,,,,,*sβьnu̠ti,,,,,,,*sβanu̠ti,,,,,,,,,,,,,,*sβa̠.nuti,sva̠.nuti,
sve̠,*wi̠xa,*wi̠śa,*wi̠śe,,,,*βi̠śe,,,*βi̠se,,,*βi-se̠,,,,,,,,,,,,,*βьse̠,,,,,,,,,,,,,,,,,,,,,,,,*βse̠,*sβe̠,,,,,,,,,,,,,,,,,,,,sve̠,
"svē̠t, f. svē̠.ta, n. svē̠to",*swentu,,,,,,*sβentu,,,,,,,,,,,,,,,,,,,*sβentъ,,,*sβętъ,,*sβ̠ętъ,,,,,,,,,*sβ̠ętь,,,,,,,,,*sβē̠tь,*sβē̠t,,,,,,,,,,,,,,,,,,,,,"svē̠t, f. svē̠.ta, n. svē̠to",
svıē̠.ći,*swa̠jtjāj,,*swa̠jtjēj,*swē̠tjī,,,*sβē̠tjī,,,,,,*sβētjī̠,,,,,,,,,,,,*sβětjī̠,,,,,,,*sβětji̠,,*sβět´i̠,,,,,,,,,,,,,,,,,,,,,,,,,,,*sβıēt´i̠,,,,,,,,,*sβıē̠.t´i,*svıē̠. t´i,svıē̠.ći
svıē̠.ću,*swa̠jtjān,,*swa̠jtjēn,*swē̠tjēn,*swē̠tjān,,*sβē̠t-jān,,,,,,*sβētjā̠n,,,,,,,,,,*sβētja̠n,*sβētjo̠n,*sβětjo̠n,,,,*sβět-j̠ō˛,,,*sβětj̠o˛,,*sβět´̠o˛,,,,,,,,,,,,,,,*sβět̠´u̠,,,,,,,,,,,,*sβıēt̠´u̠,,,,,,,,,*sβıē̠.t̠´u,*svıē̠.t̠´u,svıē̠.ću
ši̠lo,*sjū̠˙dla,,*sjī̠˙dla,,,,,,,,,,,,,,,,,*sjī̠˙la,,,,*sjī̠˙lo,,,,,,,,,,*šī̠˙lo,,,,,,,,,,ši̠lo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
što̠,*čita,,,,,,,,,,,,,,,,,,,,,,,*čito,,*čьto,,,,,*čь̠to,,,,,,,,,,,,,,,,,,,*čto̠,,,što̠,,,,,,,,,,,,,,,,,,,
štu̠ka,*stja̠w˙kā˙,,*stje̠w˙kā˙,*stjō̠˙kā˙,,,,,,,,,,,,,,*stjū̠˙kā˙,,,,,,,,,,,,,,*stjū̠˙ka,,*št´ū̠˙ka,,,,,,,,,,*št´u̠ka,,,,štu̠ka,,,,,,,,,,,,,,,,,,,,,,,,
tıē̠k,*tēku,,,,,,,,,,,,,,,,,,,,,,,,*těku,*těkъ,,,,,*tě̠kъ,,,,,,,,,*tě̠kь,,,,,,,,,,*tě̠k,,,,,,,,,,,tıē̠k,,,,,,,,,,,
tlā̠k,*talku,,,,,,,,,,,,,,,,,,,,*tlāku,,,,,*tlākъ,,,,,*tlā̠kъ,,,,,,,,,*tlā̠kь,,,,,,,,,,tlā̠k,,,,,,,,,,,,,,,,,,,,,,
"tlā̠.piti ‘im Schlaf sprechen, faseln’",*ta̠lpī˙tēj,,,*ta̠lpī˙tī,,,,,,,,,*talpī̠˙tī,,,,,,,,*tlāpī̠˙tī,,,,,,,,,,,*tlāpī̠˙ti,,,,,,,,,,,,*tlāpi̠ti,,,,,,,,,,,,,,,,,,,,,,,,,,"tlā̠.piti ‘im Schlaf sprechen, faseln’",,
trē̠sao,*tre̠nslu,,,,,,,,,,,,*trenslu̠,,,,,,,,,,,,,*trenslъ̠,"*trensьlъ̠, in Analogie zu den anderen Genera und Numeri wieder zu *trenslъ̠ gewandelt,",,*tręslъ̠,,,,,,,,,*tr̠ę·-slъ,,*tr̠ę·slь,,,,,,,*tr̠ę·sьlь,,*trē̠·sьlь,*trē̠·sьl,,,,,,*trē̠·sal,,,,,,,,,*trē̠·sao,,,,trē̠sao,,,
u̠,*u,,,,,*wu,*βu,,,,,,,,,,,,,,,,,,,*βъ,,,,,*βъ̠,,,,,,,,,*βь̠,,,,,,,,,,*β̠,,,,,u̠,,,,,,,,,,,,,,,,,
"u̠gal´, G sg. u̠gl´a",*a̠n˙glju,,*a̠n˙glji,,,,,,,,,,,,,,,,,,,,,*o̠n˙glji,,*o̠n˙gljь,,,*̠ō˛˙gljь,,,,,*̠ō˛˙gl´ь,,,,,,,,,,*̠o˛gl´ь,,,*̠o˛gьl´ь,,*u̠gьl´ь,*u̠gьl´,,,,,,"u̠gal´, G sg. u̠gl´a",,,,,,,,,,,,,,,,
u̠jāk,*a̠w˙jāku,,*a̠w˙jēku,*ō̠˙jēku,*ō̠˙jāku,,,,,,,,,,,,,*ū̠˙jāku,,,,,,,,*ū̠˙jākъ,,,,,,,,,,,,,,*ū̠˙jākь,,,,*u̠jākь,,,,,,u̠jāk,,,,,,,,,,,,,,,,,,,,,,
u̠.mišl´en,*awmū̠˙sljenu,,,*ōmū̠˙sljenu,,,,,,,,,,,,*ōmy̠˙sljenu,,*ūmy̠˙sljenu,,,,,,,,*ūmy̠˙sljenъ,,,,,,,,*ūmy̠˙šl´enъ,,,,,*ūmī̠˙šl´enъ,*ūmī̠˙šl´enь,,*umī̠˙šl´enь,,*umi̠šl´enь,,,,,,*umi̠šl´en,,,,,,,,,,,,,,,,,,,,u̠.mišl´en,,
u̠m˚ro,*awmirlu,,,*ōmirlu,,,,,,,,,,,,,,*ūmirlu,,,,,,,,*ūmьrlъ,,*ūmrlъ,,,*ū̠mrlъ,,,,,,,,,*ū̠-mrlь,,*u̠mrlь,,,,,,,,*u̠mrl (so in Novi),,,,,,,,,,,,,,,u̠m˚ro,,,,,,,
u̠.nuk,*una̠w˙ku,,,*unō̠˙ku,,*wunō̠˙ku,*βunō̠˙ku,,,,,,,,,,,*βunū̠˙ku,,,,,,,,*βъnū̠˙kъ,,,,,,,,,,,,,,*βьnū̠˙kь,,,,*βьnu̠kь,,,,,,*βnu̠k,,,,,*unu̠k,,,,,,,,,,,,,,,u̠.nuk,,
vī̠,*wū˙,,,,,,*βū˙,,,,,*βū,,,,*βy,,,,,,,,,,,,,,,*βy̠,,,,,,,,*βī̠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vī̠,
vi̠dra,*ū̠˙drā˙,,,,,*wū̠˙drā˙,*βū̠˙drā˙,,,,,,,,,*βy̠˙drā˙,,,,,,,,,,,,,,,,*βy̠˙dra,,,,,,,*βī̠˙dra,,,,,*βi̠dra,,,,,,,,,,,,,,,,,,,,,,,,,,,vi̠dra,
vıē̠šću,*wajstijān˙,,*wajstijēn˙,*wēstijēn˙,*wēstijān˙,,*βē-stijān˙,,,,,,,,,,,,,,,,*βēstijan˙,,*βěstijan˙,*βěstьjan˙,,,*βěstьjō˛˙,,*βě̠stьjō˛˙,*βě̠stьjo˛,,,,,,,,,,,,,,,,,*βě̠stьju,*βě̠stju,,,,,,,,,,,*βıē̠stju,,,,,*βıē̠št´u,,,,,*vıē̠št´u,vıē̠šću
viso̠.ko,*ūsa̠ka,,,,,*wūsa̠ka,*βūsa̠ka,,,,,,*βūsaka̠,,,*βysaka̠,,,,,,,,*βysoko̠,,,,,,,,,,,,,,,*βīsoko̠,,,*βisoko̠,,,,,,,,,,,,,,,,,,,,,,,,,,,,*βiso̠.ko,viso̠.ko,
vjē̠rnī,*wē̠˙rinuju,,*wē̠˙rinuji,,,,*βē̠˙rinuji,,,,,,,,,,,,,,,,,,*βě̠˙rinuji,*βě̠˙rьnъjь,,,,,,,*βě̠˙rьny,,,,,,*βě̠˙rьnī,,,,,*βě̠rьnī,,,,,,*βě̠rnī,,,,,,,,,,,*βıe̠rnī,,,,,,*βje̠rnī,*βjē̠rnī,,,vjē̠rnī,
"vje̠tar, G sg. vje̠tra",*wē̠˙tru,,,,,,*βē̠˙tru,,,,,,,,,,,,,,,,,,*βě̠˙tru,*βě̠˙trъ,*βě̠˙tьrъ,,,,,,,,,,,,,*βě̠˙tьrь,,,,*βě̠tьrь,,,,,,*βě̠tьr,,,,,,*βě̠tar,,,,,*βıe̠tar,,,,,,*βje̠tar,,,,"vje̠tar, G sg. vje̠tra",
"vo̠.da, A sg. vo̠du, na̠ vodu",*wadā̠˙,,,,,,*βadā̠˙,,,,,,,,,,,,,,,,,*βodā̠˙,,,,,,,,*βoda̠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*βo̠.da,"vo̠.da, A sg. vo̠du, na̠ vodu",
vra̠na,*wa̠r˙nā˙,,,,,,*βa̠r˙nā˙,,,,,,,,,,,,,,*βrā̠˙nā˙,,,,,,,,,,,*βrā̠˙na,,,,,,,,,,,,*βra̠na,,,,,,,,,,,,,,,,,,,,,,,,,,,vra̠na,
vr̠bl´e,*wi̠rbija,,*wi̠rbije,,,,*βi̠rbije,,,,,,*βirbi̠je,,,,,,,,,,,,,*βьrbь̠je,,*βrbь̠je,,,,,,,,,,*βr̠·bьje,,,,,,,,,,,,*βr̠·bje,,,,,,,,,,*βr̠·blje,,,,,,*βr̠·bl´e,,,*βr̠bl´e,,vr̠bl´e,
"vrıē̠.ći, heute vrıē̠ći (siehe unter náći)",*we̠rxtēj,,,*we̠rxtī,,,*βe̠rxtī,,,,,,*βerxtī̠,*βerx´t´ī̠,,,,,,,*βrēx´t´ī̠,,,,*βrěx´t´ī̠,,,,,,,*βrěx´t´i̠,,,*βrět´i̠,,,,,,,,,,,,,,,,,,,,,,,,,,*βrıēt´i̠,,,,,,,,,*βrıē̠.t´i,*vrıē̠.t´i,"vrıē̠.ći, heute vrıē̠ći (siehe unter náći)"
vū̠ci ‘Wölfe’,*wilkuj,,,*wilkī,,,*βilkī,*βilt´ī,,,,,,,,,*βilcī,,,,,,,,,*βьlcī,,*βlcī,,,*β̠lcī,*β̠lci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*βū̠ci,,,,,,,,vū̠ci ‘Wölfe’,
"vū̠k, G sg. vū̠ka",*wilku,,,,,,*βilku,,,,,,,,,,,,,,,,,,,*βьlkъ,,*βl̠kъ,,,*βl̠kъ,,,,,,,,,*βl̠kь,,,,,,,,,,*β̠lk,,,,,,,,,,,,,*βū̠k,,,,,,,,"vū̠k, G sg. vū̠ka",
zdrā̠vl´e,*suda̠r˙wija,,*suda̠r˙wije,,,,*suda̠r˙βije,,,,,,,,,,,,,,*sudrā̠˙βije,,,,,*sъdrā̠˙βьje,,,,,,,,,,,,,,*sьdrā̠˙βьje,,,,*sьdra̠βьje,,,,,,*sdra̠βje,,*zdra̠βje,,,,,,,,*zdra̠βlje,,,,,,*zdra̠βl´e,,*zdrā̠βl´e,,,zdrā̠vl´e,
ze̠.ml´a,*zemjā̠˙,,*zemjē̠˙,,*zemjā̠˙,,,,*zemlj-ā̠˙,,,,,,,,,,,,,,,,,,,,,,,*zemlja̠,,"*zeml´a̠ (die Kortlandtsche Ersatzdehnung wurde im Akzentparadigma c bereits vor dem Wirken des Ersten Ivšićschen Gesetzes, § 36, analogisch wieder rückgängig gemacht, s. Holzer Prosodie 52)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ze̠.ml´a,,
ze̠t,*ze̠n˙ti,,,,,,,,,,,,,,,,,,,,,,,,,*ze̠n˙tь,,,*z̠ę˙tь,,,,,,,,,,,,,,,*z̠ętь,,,,,*ze̠tь,ze̠t,,,,,,,,,,,,,,,,,,,,,,
zī̠.ma,*zejmā̠˙,,,*zīmā̠˙,,,,,,,,,,,,,,,,,,,,,,,,,,,,*zīma̠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zī̠.ma,,
zī̠mu,*zejmān,,,*zīmān,,,,,,,,,,,,,,,,,,,*zīman,*zīmon,,,,,*zīmō˛,,*zī̠mō˛,*zī̠mo˛,,,,,,,,,,,,,,,,,zī̠mu,,,,,,,,,,,,,,,,,,,,,,,
zi̠.mūs,*zejmān si,,,*zīmān si,,,,,,,,,,,,,,,,,,,*zīman si,*zīmon si,,*zīmon sь,,,*zīmō˛ sь,,*zīmō˛ sь̠,,,,,,,*zīm̠ō˛· sь,,,,*zim̠ō˛· sь,,,,,,,*zimū̠· sь,*zimū̠· s,,,,,,,,,,,,,,,,,,,*zimū̠ s,zi̠.mūs,,
zja̠ti,*zijā̠˙tēj,,*zijē̠˙tēj,*zijē̠˙tī,*zijā̠˙tī,,,,,,,,,,,,,,,,,,,,,*zьjā̠˙tī,,,,,,*zьjā̠˙ti,,,,,,,,,,,,*zьja̠ti,,,,,,zja̠ti,,,,,,,,,,,,,,,,,,,,,,
zna̠lačkī,*znā̠˙ličiskuju,,*znā̠˙ličiskuji,,,,,,,,,,,,,,,,,,,,,,,*znā̠˙-lьčьskъjь,,,,,,,*znā̠˙lьčьsky,,,,,,*znā̠˙lьčьskī,,,,,*zna̠lьčьskī,,,,,,*zna̠lьčskī,,,*zna̠lьčkī,,,zna̠lačkī,,,,,,,,,,,,,,,,
zna̠o,*znā̠˙lu,,,,,,,,,,,,,,,,,,,,,,,,,*znā̠˙lъ,,,,,,,,,,,,,,*znā̠˙lь,,,,*zna̠lь,,,,,,*zna̠l,,,,,,,,,,,,,,,zna̠o,,,,,,,
"zū̠b, G sg. zū̠ba (auf Susak zūba̠)",*zambu,,,,,,,,,,,,,,,,,,,,,,,*zombu,,*zombъ,,,*zō˛bъ,,*z̠ō˛bъ,,,,,,,,,*z̠ō˛bь,,,,,,,,,*zū̠bь,"zū̠b, G sg. zū̠ba (auf Susak zūba̠)",,,,,,,,,,,,,,,,,,,,,,
zvıē̠.zda,*gwa̠jzdā˙,,,*gwē̠zdā˙,,,*gβē̠zdā˙,*d´βē̠zdā˙,,,,,*d´βēzdā̠˙,,,,*dzβēzdā̠˙,,,,,,,,*dzβězdā̠˙,,,,,,,*dzβězda̠,,,,*zβězda̠,,,,,,,,,,,,,,,,,,,,,,,,,*zβıēzda̠,,,,,,,,,*zβıē̠.zda,zvıē̠.zda,
ža̠o,*džē̠˙lu,,,,*džā̠˙lu,,,,,,,,,,,,,,*žā̠˙lu,,,,,,,*žā̠˙lъ,,,,,,,,,,,,,,*žā̠˙lь,,,,*ža̠lь,,,,,,*ža̠l,,,,,,,,,,,,,,,ža̠o,,,,,,,
ždrıē̠b,*džerbu,,,,,,,,,,,,,,,,,,*žerbu,,*žrēbu,,,,*žrěbu,*žrěbъ,,,,,*žrě̠bъ,,,,,,,,,*žrě̠bь,,,,,,*ždrě̠bь,,,,*ždrě̠b,,,,,,,,,,,ždrıē̠b,,,,,,,,,,,
ždrıē̠be,*džerben˙,,,,,,,,,,,*džerben,,,,,,,*žerben,,*žrēben,,,,*žrěben,,,,*žrěbę,,*žrě̠bę,*žrě̠bę,,,,,,,,,,,,,,*ždrě̠bę,,,*ždrě̠be,,,,,,,,,,,,ždrıē̠be,,,,,,,,,,,
ždrıē̠.lo,*dže̠rdla,,,,,,,,,,,,*džerdla̠,,,,,,*žerdla̠,*žerla̠,*žrēla̠,,,*žrēlo̠,*žrělo̠,,,,,,,,,,,,,,,,,,,,,*ždrělo̠,,,,,,,,,,,,,,,*ždrıēlo̠,,,,,,,,,ždrıē̠.lo,,
že̠.na,*dže̠nā˙,,,,,,,,,,,,,,,,,,*ženā̠˙,,,,,,,,,,,,,*žena̠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,že̠.na,,
"žī̠v, fem. žī̠.va",*džī˙wu,,,,,,*džī˙βu,,,,,*džīβu,,,,,,,*žīβu,,,,,,,*žīβъ,,,,,*žī̠βъ,,,,,,,,,*žī̠βь,,,,,,,,,,*žī̠β,,,,,,,,,,,,,,,,,,,,,"žī̠v, fem. žī̠.va",
žli̠ca (neben o̠.žica; s. dazu § 27),*ludžī̠˙kā˙,*ludžī̠˙t´ā˙,*ludžī̠˙t´ē˙,,*ludžī̠˙t´ā˙,,,,,,,,,,,,*ludžī̠˙cā˙,,*lužī̠˙cā˙,,,,,,,*lъžī̠˙cā˙,,*lžī̠˙cā˙,,,,*lžī̠˙ca,,,,,,,,,,,,*lži̠ca,,,,,,,žli̠ca (neben o̠.žica; s. dazu § 27),,,,,,,,,,,,,,,,,,,,,
žmi̠rati ‘blinzeln’. Gehört zu kr. mi̠gati ‘blinzeln’ (s,*midž-,,,,,,,,,,,,,,,,,,*miž-,,,,,,,*mьž-,,,,,,,,,,,,,,,,,,,,,,,,*mž- in *mži̠rati,žmi̠rati ‘blinzeln’. Gehört zu kr. mi̠gati ‘blinzeln’ (s,,,,,,,,,,,,,,,,,,,,,
"žu̠.pān, G sg. župā̠.na",*džawpā̠nu,,,*džōpā̠˙nu,,,,,,,,,*džōpānu̠,,,,,*džūpā̠˙nu,*žūpā̠˙nu,,,,,,,*žūpā̠˙nъ,,,,,,,,,,,,*žūpā̠·nъ,,*žūpā̠˙nь,,*župā̠˙nь,,*župa̠nь,,,,,,*župā̠·n (so čak.),,,,,,,,,,,,,,,,,,,*župā̠n,"kr. žu̠.pān, G sg. župā̠.na. Siehe ARj XXIII 509-511, Skok III 687 f., HER 1511, Zubčić Bašćanska ploča 456 (mit Fußnote 54), Sekulić Bački Hrvati 695. Daneben scheint eine Form mit akutierter zweiter Silbe existiert zu haben: ursl. *džawpā̠˙nu",,
